MK935846.1;CHL;Human_feces
MK935847.1;CHL;Human_feces
MK935848.1;CHL;Human_feces
MK935849.1;CHL;Pan_troglodytes_feces
MK935850.1;CHL;Human_feces
MK935851.1;CHL;Human_feces
MK935852.1;CHL;Human_feces
MK935853.1;GEN;Pan_troglodytes_feces
MK935854.1;GEN;Gorilla_feces
MK935855.1;GEN;Pan_troglodytes_feces
MK935856.1;GEN;Pan_troglodytes_feces
MK935857.1;GEN;Gorilla_feces
MK935858.1;GEN;Gorilla_feces
MK935859.1;GEN;Pan_troglodytes_feces
MK935860.1;GEN;Gorilla_feces
MK935861.1;GEN;Gorilla_feces
MK935862.1;GEN;Gorilla_feces
MK935863.1;GEN;Gorilla_feces
MK935864.1;GEN;Pan_troglodytes_feces
MK935865.1;GEN;Gorilla_feces
MK935866.1;GEN;Pan_troglodytes_feces
MK935867.1;GEN;Gorilla_feces
MK935868.1;GEN;Gorilla_feces
MK935869.1;GEN;Pan_troglodytes_feces
MK935870.1;GEN;Gorilla_feces
MK935871.1;GEN;Gorilla_feces
MK935872.1;GEN;Pan_troglodytes_feces
MK935873.1;CST;Human_feces
MK935874.1;AMP;Human_feces
MK935875.1;AMP;Human_feces
MK935876.1;PIP;Human_feces
MK935877.1;AMP;Human_feces
MK935878.1;PIP;Gorilla_feces
MK935879.1;AMP;Human_feces
MK935880.1;CST;Human_feces
MK935881.1;PEN;Human_feces
MK935882.1;AMX;Human_feces
MK935883.1;PIP;Human_feces
MK935884.1;PIP;Human_feces
MK935885.1;AMX;Human_feces
MK935886.1;CST;Gorilla_feces
MK935887.1;PEN;Human_feces
MK935888.1;AMP;Human_feces
MK935889.1;PEN;Human_feces
MK935890.1;PIP;Human_feces
MK935891.1;PIP;Human_feces
MK935892.1;PEN;Human_feces
MK935893.1;AMP;Human_feces
MK935894.1;AMX;Human_feces
MK935895.1;PEN;Human_feces
MK935896.1;AMX;Human_feces
MK935897.1;CST;Human_feces
MK935898.1;AMP;Human_feces
MK935899.1;CST;Human_feces
MK935900.1;PEN;Human_feces
MK935901.1;AMP;Human_feces
MK935902.1;AMP;Human_feces
MK935903.1;CST;Human_feces
MK935904.1;CST;Human_feces
MK935905.1;PEN;Human_feces
MK935906.1;PIP;Gorilla_feces
MK935907.1;CST;Human_feces
MK935908.1;PEN;Human_feces
MK935909.1;AMX;Human_feces
MK935910.1;PIP;Human_feces
MK935911.1;AMP;Gorilla_feces
MK935912.1;AMP;Human_feces
MK935913.1;PIP;Human_feces
MK935914.1;PIP;Human_feces
MK935915.1;AMP;Human_feces
MK935916.1;CAZ;Human_feces
MK935917.1;PEN;Human_feces
MK935918.1;ATM;Gorilla_feces
MK935919.1;PIP;Human_feces
MK935920.1;AMX;Human_feces
MK935921.1;CST;Human_feces
MK935922.1;AMX;Human_feces
MK935923.1;PEN;Human_feces
MK935924.1;FEP;Human_feces
MK935925.1;CAZ;Human_feces
MK935926.1;ATM;Human_feces
MK935927.1;CAZ;Human_feces
MK935928.1;PEN;Gorilla_feces
