MK936038.1
MK935711.1
MK935712.1
MK935715.1
MK935716.1
MK935719.1
MK935720.1
MK935723.1
MK935724.1
MK935717.1
MK935718.1
MK935845.1
MK935855.1
MK935859.1
MK935866.1
MK935870.1
MK935874.1
MK935921.1
MK935951.1
MK935952.1
MK935959.1
MK935976.1
MK936003.1
MK936006.1
MK936030.1
KJ910936.1
KJ910938.1
KJ910993.1
KJ911002.1
KJ911002.1
JX009208.1
JX009208.1
JX009218.1
JX009347.1
JX009348.1
JX009353.1
JX009379.1
KJ691919.1
KJ691927.1
KJ691934.1
KJ691936.1
KJ691956.1
KJ691957.1
KJ691971.1
KJ691998.1
KJ692015.1
KJ692020.1
KJ692037.1
KJ692097.1
KJ692098.1
KJ692113.1
KJ692117.1
KJ692175.1
KJ692222.1
KJ692223.1
KJ692227.1
KJ692227.1
KJ692236.1
KJ692263.1
KJ692285.1
KJ692334.1
KJ692351.1
KJ692457.1
KJ692467.1
KJ692499.1
KJ692542.1
KJ692595.1
KJ692603.1
KJ692647.1
KJ692661.1
KJ692693.1
KJ692711.1
KJ692711.1
KJ692715.1
KJ692742.1
KJ692762.1
KJ692775.1
KJ692780.1
KJ692788.1
KJ692804.1
KJ692806.1
KJ692809.1
KJ692809.1
KJ692809.1
KJ692853.1
KJ692858.1
KJ692866.1
KJ692867.1
KJ692869.1
KJ692870.1
KJ692870.1
KJ692895.1
KJ692955.1
KJ692958.1
KJ692960.1
KJ692962.1
KJ692988.1
KJ693013.1
KJ693071.1
KJ693148.1
KJ693176.1
KJ693182.1
KJ693283.1
KJ693361.1
KJ693376.1
KJ693413.1
KJ693429.1
KJ693450.1
KJ693458.1
KJ693509.1
KJ693509.1
KJ693526.1
KJ693581.1
KJ693585.1
KJ693587.1
KJ693605.1
KJ693611.1
KJ693629.1
KJ693636.1
KJ693690.1
KJ693702.1
KJ693703.1
KJ693729.1
KJ693747.1
KJ693751.1
KJ693768.1
KJ693769.1
KJ693787.1
KJ693811.1
KJ693817.1
KJ693831.1
KJ693846.1
KJ693851.1
KJ693851.1
KJ693851.1
KJ693895.1
KJ693897.1
KJ693904.1
KJ693904.1
KJ693906.1
KJ693943.1
KJ693947.1
KJ694027.1
KJ694060.1
KJ694070.1
KJ694073.1
KJ694081.1
KJ694081.1
KJ694084.1
KJ694095.1
KJ694096.1
KJ694105.1
KJ694106.1
KJ694117.1
KJ694131.1
KJ694178.1
KJ694196.1
KJ694205.1
KJ694245.1
KJ694263.1
KJ694302.1
KJ694323.1
KJ694323.1
KJ694353.1
KJ694356.1
KJ694377.1
KJ694411.1
KJ694414.1
KJ694449.1
KJ694452.1
KJ694456.1
KJ694466.1
KJ694526.1
KJ694583.1
KJ694631.1
KJ694637.1
